,id,name,is_visit,is_receive,is_active,sort_order,created_at,modified_at,created_by,modified_by
count,9.0,9,9,9,9,9.0,9,9,9.0,9.0
unique,,9,1,1,1,,,,,
top,,Weekend Snack Pack,False,True,True,,,,,
freq,,1,9,9,9,,,,,
mean,8.11111111111111,,,,,4.0,2023-12-05 13:45:48.000000256,2023-12-06 00:52:18.666666496,97021.0,97021.0
min,4.0,,,,,0.0,2023-12-05 07:53:05,2023-12-05 08:15:38,97021.0,97021.0
25%,6.0,,,,,2.0,2023-12-05 08:14:02,2023-12-05 08:46:26,97021.0,97021.0
50%,8.0,,,,,4.0,2023-12-05 08:17:09,2023-12-05 08:55:53,97021.0,97021.0
75%,10.0,,,,,6.0,2023-12-05 08:36:56,2023-12-07 09:13:11,97021.0,97021.0
max,13.0,,,,,8.0,2023-12-07 09:13:47,2023-12-07 09:16:49,97021.0,97021.0
std,2.934469476943168,,,,,2.7386127875258306,,,0.0,0.0
