,id,inventory_item_type_id,item_number,name,value,created_at,modified_at,created_by,modified_by,weight,unit,sort_order,is_active,is_visit,description,limit_per_visit,symbol_type,icon,credit_price,is_store,background_color,is_kiosk,out_of_stock_threshold,reorder_threshold,import_id,agency_item_number,temperature,is_locker,show_locker,default_tare_weight,choice_value
count,716.0,716.0,716,716,716.0,716,716,716.0,716.0,716.0,716,716.0,716,716,2,0,17,0,557.0,716,17,716,716.0,716.0,0,0,0,716,0,716.0,716.0
unique,,,716,712,,,,,,,8,,2,2,2,0,1,0,,2,4,2,,,0,0,0,1,0,,
top,,,000001,Coffee,,,,,,,Case,,True,True,"<p>Contains:<br />- 30-40lb box of shelf-stable groceries<br />- frozen protein (e.g., chicken, beef)<br />- fresh produce (e.g., potatoes)<br />- dairy products (e.g., eggs, cheese, butter)<br />- other items, as available</p>",,image,,,True,#D6B5D0,True,,,,,,False,,,
freq,,,1,2,,,,,,,402,,714,447,1,,17,,,436,8,439,,,,,,716,,,
mean,422.0684357541899,58.31843575418994,,,21.6981843575419,2024-06-10 11:04:09.182961152,2025-04-27 07:27:18.198323968,117896.1033519553,110545.32122905029,13.353212290502793,,357.5,,,,,,,0.0,,,,-2999558.1675977656,0.0,,,,,,0.0,1.0
min,55.0,46.0,,,0.0,2023-07-24 08:08:16,2023-07-26 10:50:16,97021.0,97020.0,0.0,,0.0,,,,,,,0.0,,,,-2147483648.0,0.0,,,,,,0.0,1.0
25%,239.75,49.0,,,0.0,2024-01-27 02:17:55,2025-08-14 10:37:59,113214.0,113214.0,1.0,,178.75,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,1.0
50%,424.5,56.0,,,8.0,2024-05-16 08:19:50.500000,2025-08-14 10:37:59,113214.0,113214.0,10.0,,357.5,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,1.0
75%,604.25,70.0,,,25.82,2024-10-30 10:33:51.249999872,2025-08-14 10:38:00,132980.0,113214.0,22.0,,536.25,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,1.0
max,784.0,72.0,,,2220.0,2025-09-12 12:44:56,2025-09-12 12:44:56,144514.0,113215.0,75.0,,715.0,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,1.0
std,210.89846974496163,9.009505209673806,,,99.88540039507,,,11336.14457914918,6011.874746648906,13.183240526730858,,206.83568357515102,,,,,,,0.0,,,,80255221.70145138,0.0,,,,,,0.0,0.0
