,id,client_visit_id,visit_member_id,orig_question_answer_id,orig_question_id,orig_question_block_id,orig_picklist__entry_id,question_type,question,question_block_name,is_privileged,datatype,answer,organization_id,orig_client_id
count,1000.0,1000.0,440.0,1000.0,1000.0,1000.0,0,1000,1000,1000,1000,1000,967,1000.0,1000.0
unique,,,,,,,0,3,23,10,1,6,30,,
top,,,,,,,,Demographic,Please choose all that apply,Race & Ethnicity,False,multiselect,"Hispanic or Latino, ",,
freq,,,,,,,,440,440,440,1000,440,204,,
mean,6257148.961,119996.713,229560.6431818182,3546.124,10.232,6.142,,,,,,,,745.0,584.1
std,801.726026832796,370.58484285890154,150.79087616992757,13589.05431683345,8.633348754145793,2.5644516787049065,,,,,,,,0.0,472.0479607807636
min,6256525.0,119721.0,229311.0,234.0,1.0,5.0,,,,,,,,745.0,95.0
25%,6256784.75,119805.0,229421.75,1056.75,4.0,5.0,,,,,,,,745.0,286.0
50%,6257048.0,119867.0,229553.5,1360.5,4.0,5.0,,,,,,,,745.0,485.5
75%,6257322.5,119928.0,229694.25,1714.5,18.0,7.0,,,,,,,,745.0,596.0
max,6262599.0,121605.0,229826.0,117545.0,42.0,18.0,,,,,,,,745.0,2473.0
