,id,client_visit_id,visit_member_id,orig_visit_item_id,orig_inventory_item_id,name,comment,quantity,unitValue,unitWeight,totalValue,totalWeight,unit_credit_price,total_credit_price,organization_id,orig_inventory_item_type_id,itemType,orig_client_id
count,1000.0,1000.0,0,1000.0,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,1000.0
unique,,,0,,,1,0,,,,,,,,,,1,
top,,,,,,Standard Package,,,,,,,,,,,Food Package,
freq,,,,,,1000,,,,,,,,,,,1000,
mean,178621.5,125117.311,,947.05,63.0,,,1.0,50.0,40.0,50.0,40.0,0.0,0.0,745.0,47.0,,2675.141
std,288.8194360957494,2873.861163359369,,390.36802724697714,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1409.2619395745182
min,178122.0,119722.0,,264.0,63.0,,,1.0,50.0,40.0,50.0,40.0,0.0,0.0,745.0,47.0,,137.0
25%,178371.75,122510.75,,614.5,63.0,,,1.0,50.0,40.0,50.0,40.0,0.0,0.0,745.0,47.0,,1579.0
50%,178621.5,125460.5,,944.5,63.0,,,1.0,50.0,40.0,50.0,40.0,0.0,0.0,745.0,47.0,,2511.0
75%,178871.25,127844.25,,1284.25,63.0,,,1.0,50.0,40.0,50.0,40.0,0.0,0.0,745.0,47.0,,3806.25
max,179121.0,129169.0,,1628.0,63.0,,,1.0,50.0,40.0,50.0,40.0,0.0,0.0,745.0,47.0,,5346.0
