id,inventory_group_id,inventory_item_id,quantity,created_at,modified_at,created_by,modified_by
9,4,203,100,2023-12-05 07:53:05,2023-12-05 07:53:05,97021,97021
10,4,205,100,2023-12-05 07:53:05,2023-12-05 07:53:05,97021,97021
11,4,206,100,2023-12-05 07:53:05,2023-12-05 07:53:05,97021,97021
12,5,207,9600,2023-12-05 08:08:05,2023-12-05 08:08:05,97021,97021
13,4,207,100,2023-12-05 08:11:04,2023-12-05 08:11:04,97021,97021
14,6,203,4800,2023-12-05 08:14:02,2023-12-05 08:14:02,97021,97021
15,7,206,2400,2023-12-05 08:15:23,2023-12-05 08:15:23,97021,97021
16,8,205,9600,2023-12-05 08:17:09,2023-12-05 08:17:09,97021,97021
17,9,208,1200,2023-12-05 08:30:07,2023-12-05 08:30:07,97021,97021
18,10,209,4800,2023-12-05 08:36:56,2023-12-05 08:36:56,97021,97021
