id,inventory_receive_id,inventory_item_id,quantity,unitValue,unitWeight,totalValue,totalWeight,created_at,modified_at,created_by,modified_by,comment,inventory_receive_group_id
1315,149,130,15.0,300,113,4500,1695,2024-03-07 09:28:50,2024-03-07 09:28:50,113215,113215,,
1316,150,124,2.0,300,100,600,200,2024-03-07 09:32:47,2024-03-07 09:32:47,113215,113215,,
1317,151,269,23.0,0,1300,0,29900,2024-03-18 06:43:03,2024-03-18 06:43:03,113215,113215,,
1318,152,328,36.0,0,2700,0,97200,2024-03-18 06:45:13,2024-03-18 06:45:13,113215,113215,,
1319,153,270,4.0,0,3200,0,12800,2024-03-18 06:46:13,2024-03-18 06:46:13,113215,113215,,
1320,154,168,21.0,500,150,10500,3150,2024-03-18 06:47:41,2024-03-18 06:47:41,113215,113215,,
1321,155,316,1.0,4800,2600,4800,2600,2024-03-18 06:49:19,2024-03-18 06:49:19,113215,113215,,
1322,156,298,7.0,0,2700,0,18900,2024-03-18 06:50:37,2024-03-18 06:50:37,113215,113215,,
1323,157,262,11.0,0,2400,0,26400,2024-03-18 06:51:51,2024-03-18 06:51:51,113215,113215,,
1324,158,224,27.0,0,0,0,0,2024-03-18 06:53:40,2024-03-18 06:53:40,113215,113215,,
