id,client_visit_id,visit_member_id,orig_question_answer_id,orig_question_id,orig_question_block_id,orig_picklist__entry_id,question_type,question,question_block_name,is_privileged,datatype,answer,organization_id,orig_client_id
6254669,119721,,296,21,7,,InterviewQuestion,Number of Adults (18+ Years),Household Size,False,integer,1,745,96
6254670,119721,,297,22,7,,InterviewQuestion,Number of Children (0-17 Years),Household Size,False,integer,0,745,96
6254671,119722,,306,21,7,,InterviewQuestion,Number of Adults (18+ Years),Household Size,False,integer,1,745,137
6254672,119722,,307,22,7,,InterviewQuestion,Number of Children (0-17 Years),Household Size,False,integer,0,745,137
6254673,119723,,308,21,7,,InterviewQuestion,Number of Adults (18+ Years),Household Size,False,integer,1,745,140
6254674,119723,,309,22,7,,InterviewQuestion,Number of Children (0-17 Years),Household Size,False,integer,0,745,140
6254675,119724,,314,21,7,,InterviewQuestion,Number of Adults (18+ Years),Household Size,False,integer,2,745,153
6254676,119724,,315,22,7,,InterviewQuestion,Number of Children (0-17 Years),Household Size,False,integer,1,745,153
6254677,119725,,316,21,7,,InterviewQuestion,Number of Adults (18+ Years),Household Size,False,integer,2,745,158
6254678,119725,,317,22,7,,InterviewQuestion,Number of Children (0-17 Years),Household Size,False,integer,1,745,158
