id,client_visit_id,visit_member_id,orig_visit_item_id,orig_inventory_item_id,name,comment,quantity,unitValue,unitWeight,totalValue,totalWeight,unit_credit_price,total_credit_price,organization_id,orig_inventory_item_type_id,itemType,orig_client_id
178122,119722,,264,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,137
178123,119724,,267,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,153
178124,119725,,268,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,158
178125,119739,,273,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,161
178126,119740,,274,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,176
178127,119743,,276,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,194
178128,119746,,277,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,205
178129,119747,,278,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,223
178130,119777,,280,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,238
178131,119796,,282,63,Standard Package,,1,50,40,50,40,0,0,745,47,Food Package,286
